armour | Banded
armour | Leather
armour | Plate Mail
armour | Ring Mail
armour | Splinted
armour | Scale Mail
armour | Studded Leather
armour | Shield
weapon | Arrow
weapon | Axe
weapon | Bolt
weapon | Bow
weapon | Crossbow
weapon | Dagger
weapon | Flail
weapon | Hammer
weapon | Javelin
weapon | Mace
weapon | Military Pick
weapon | Morning
weapon | Pole Arm
weapon | Staff
weapon | Spear
weapon | Trident
weapon | Sling
potion | Animal Control
potion | Clairaudience
potion | Clairvoyance
potion | Climbing
potion | Diminution
potion | Dragon Control
potion | ESP
potion | Fire Resistance
potion | Flying
potion | Giant Control
potion | Giant Strength
potion | Growth
potion | Healing
potion | Heroism
potion | Human Control
potion | Invisibility
potion | Invulnerability
potion | Levitation
potion | Longevity
potion | Oil of
potion | Philtre of Love
potion | Philtre of Persuasiveness
potion | Plant Control
potion | Polymorph
potion | Speed
potion | Sweet Water
potion | Treasure
potion | Undead Control
potion | Water Breathing
ring | Charisma
ring | Feather Falling
ring | Fire Resistance
ring | Free Action
ring | Genie Summoning
ring | Invisibility
ring | Protection
ring | Spell
ring | Spell Turning
ring | Swimming
ring | Three
ring | Warmth
ring | Water Walking
ring | Wizardry
rod/staff/wand | Rod of Absorption
rod/staff/wand | Rod of Cancellation
rod/staff/wand | Rod of Captivation
rod/staff/wand | Rod of Lordly Might
rod/staff/wand | Rod of Rulership
rod/staff/wand | Rod of Striking
rod/staff/wand | Staff of
rod/staff/wand | Staff of Healing
rod/staff/wand | Staff of Power
rod/staff/wand | Staff of the Serpent
rod/staff/wand | Staff of Withering
rod/staff/wand | Staff of Wizardry
rod/staff/wand | Wand of Detecting Magic
rod/staff/wand | Wand of Enemy Detection
rod/staff/wand | Wand of Fear
rod/staff/wand | Wand of Fire
rod/staff/wand | Wand of Ice
rod/staff/wand | Wand of Light
rod/staff/wand | Wand of Illusion
rod/staff/wand | Wand of Lightning
rod/staff/wand | Wand of Magic Missiles
rod/staff/wand | Wand of Negation
rod/staff/wand | Wand of Paralysation
rod/staff/wand | Wand of Polymorphing
rod/staff/wand | Wand of
rod/staff/wand | Wand of Wonder
rod/staff/wand | Acid
rod/staff/wand | Demons
rod/staff/wand | Devils
rod/staff/wand | Elementals
rod/staff/wand | Lycanthropes
rod/staff/wand | Magic
rod/staff/wand | Petrifaction
rod/staff/wand | Polymorph
rod/staff/wand | Undead
sword | Broadsword
sword | Longsword
sword | Bleeding Sword
sword | Dancing Sword
sword | Defender
sword | Dragonbane
sword | Flaming Blade
sword | Frost Brand
sword | Giantbane
sword | Holy Sword
sword | Keenblade
sword | Luck Blade
sword | Magebane
sword | Nine Lives Stealer
sword | Trollbane
sword | Vampire Blade
sword | Vorpal Blade
sword | Werebane
sword | Wyrmbane
sword | Arrow of Slaying
sword | Axe of Hurling
sword | Crossbow of Accuracy
sword | Crossbow of Range
sword | Crossbow of Speed
sword | Dagger of Venom
sword | Hammer of the Dwarfs
sword | Holy Mace
sword | Sling of the Halfling
sword | Trident/Fork
misc | Javelin of the Raptor
misc | Thunder Spear
misc | Boots of Elvenkind
misc | Candle of Invocation
misc | Dust of Appearance
misc | Dust of Disappearance
misc | Rope of Climbing
misc | Scarab of Protection
misc | Slippers of Spider Climbing
misc | Amulet of Natural Armour
misc | Blessed Book
misc | Brooch of Shielding
misc | Hat of Disguise
misc | Periapt of Proof Against Poison
misc | Phylactery of Faithfulness
misc | Robe of Blending
misc | Pipes of the Sewers
misc | Restorative Ointment
misc | Robe of Useful Items
misc | Vest of Escape
misc | Cloak of Elvenkind
misc | Wings of Flying
misc | Cloak of Resistance
misc | Arrow of Direction
misc | Brazier of Commanding Fire
misc | Cape of the Mountebank
misc | Cloak of the Manta Ray
misc | Decanter of Endless Water
misc | Dust of Dryness
misc | Elixir of Swimming
misc | Gloves of Arrow Snaring
misc | Gloves of Swimming and Climbing
misc | Goggles of Night
misc | Horseshoes of Speed
misc | Necklace of Adaptation
misc | Orb of Storms
misc | Periapt of Health
misc | Pipes of Haunting
misc | Ring Gates
misc | Robe of Bones
misc | Unguent of Timelessness
misc | Universal Solvent
misc | Amulet of Proof Against Detection/
misc | Boots of Speed
misc | Boots of Striding and Springing
misc | Candle of Truth
misc | Cloak of the Bat
misc | Dark Skull
misc | Dust of Tracelessness
misc | Elixir of Truth
misc | Elixir of Vision
misc | Glove of Storing
misc | Horn of the Tritons
misc | Periapt of Wound Closure
misc | Phylactery of Undead Turning
misc | Rope of Entanglement
misc | Stone of Alarm
misc | Sustaining Spoon
misc | Wind Fan
misc | Boots of Levitation
misc | Bottle of Air
misc | Broom of Flying
misc | Crystal Ball
misc | Elixir of Fire Breath
misc | Elixir of Hiding
misc | Handy Haversack
misc | Harp of Charming
misc | Helm of Comprehend Languages/
misc | Helm of Underwater Action
misc | Horn of Fog
misc | Ahmek’s Copious Coin Purse
misc | Alchemy Jug
misc | Amulet of Health
