ACHAIYERAI | 10 (body); 15hp (per each leg) | 8 [12] or -1 [21] (see below) | 1 bite (1d10 piercing) and 2 claws (1d8 | 90 | Huge | 1d6 | 1,400 +14/hp | Average (8-10) | Chaotic evil | 180ft
AERIAL SERVANT | 16 | 3 [17] | 1 slam (8d4 blunt) | 125 | Large | 1 | 5,250 +20/hp | Semi (2-4) | Neutral | 240ft flying
AL-MI’RAJ | 1 | 7 [13] | 1 horn (1d4 piercing) | 50 | Small | 2d10 | 5 +1/hp | Animal (1) | Neutral | 180ft
SMALL OBJECT MEDIUM OBJECT LARGE OBJECT | 4 5 6 |  | 1 slam (1d6 blunt) 1 slam (2d4 blunt) 1 slam (3d6 blunt) | N/A (fights to the death) N/A (fights to the death) N/A (fights to the death) | Small Medium Large | 1 1 1 | 105 +3/hp 155 +4/hp 230 +6/hp | Non- (0) Non- (0) Non- (0) | Neutral Neutral Neutral | 90ft 60ft 30ft
ANKHEG | 3 to 8 (GM decides, or roll 1d6+2) | 2 [18] | 1 bite (3d6 piercing) | N/A | Large | 1d6 | Varies by HD: | Non- (0) | Neutral | 120ft; 60ft burrowing
ANNIS HAG | 9 | 0 [20] | 2 claws (1d8+1 slashing) and 1 bite | 90 | Large | 1d3 | 1,300 +12/hp | Exceptional (15-16) | Chaotic evil | 150ft
WORKER SOLDIER QUEEN | 2 3 10 | 3 [17] 3 [17] 4 [16] | 1 bite (1d6 piercing) 1 bite (2d4 piercing & 3d4 | 55 60 N/A | Small Medium Large | 1d100 1/5 the number of workers 1 | 30 +1/hp 50 +2/hp 700 +13/hp | Animal (1) Animal (1) Low (5-7) | Neutral Neutral Neutral | 180ft 180ft Can’t move
GORILLA CARNIVOROUS GIANT | 4 5 25 | 6 [14] 6 [14] 6 [14] | 2 fists (1d3 blunt), 1 bite (1d6 | 65 70 150 | Medium Large Gigantic | 3d6 2d4 1 | 110 +4/hp 125 +4/hp 10,000 +50/hp | Low (5-7) Low (5-7) Low (5-7) | Neutral Neutral Neutral | 120ft 120ft 180ft
AURUMVORAX | 12 | 0 [20] | 1 bite (2d4 piercing) | 105 | Small | 1 | 2,250 +16/hp | Animal (1) | Neutral | 90ft; 30ft burrowing
AXE BEAK (PHORUSRHACID) | 3 | 6 [14] | 2 claws (1d3) 1 beak (2d4) | 60 | Large | 1d6 | 50 +2/hp | Animal (1) | Neutral | 180ft
AZER | 2+1 | 2 [18] | 1 spear (1d6+2 piercing and 1d3 fire) | 60 | Medium | 1d4 | 40 +3/hp | Very (11-12) | Lawful neutral | 90ft
BABBLER | 5 | 6 [14] | 2 claws (1d6 slashing), 1 bite (1d8 | 70 | Large | 1d4 | 100 +5/hp | Average (8-10) | Chaotic evil | 120ft
BABOON | 1+1 | 7 [13] | 1 bite (1d4 piercing) | 50 | Small | 10d4 | 30 +1/hp | Low (5-7) | Neutral | 120ft
ORDINARY GIANT | 1+2 3 | 4 [16] 4 [16] | 2 claws (1d2), 1 bite | 55 60 | Small Medium |  | 30 +1/hp 50 +2/hp | Semi- (2-4) Semi- (2-4) | Neutral Neutral | 60ft; 30ft burrowing 60ft; 30ft burrowing
BANSHEE (GROANING SPIRIT) | 7 | 0 [20] | 1 touch (1d8 cold) | 80 | Medium | 1 | 665 +8/hp | Exceptional (15-16) | Chaotic evil | 150ft
BARRACUDA | 1 to 3 | 6 [14] | 1 bite (2d4 piercing) | N/A | Small | 2d6 | 1HD: 10 +1/hp | Non- (0) | Neutral | 300ft swimming
BASILISK | 6 | 4 [16] | 1 bite (1d10 piercing) | 75 | Medium | 1d4 | 1,000 +8/hp | Animal (1) | Neutral | 60ft
BAT, MOBAT | 4-6 | 2 [18] or 10 [10] | 1 bite (2d4) | 65, 70 or 75 | Medium | 1d8 |  | Low (5-7) | Neutral evil | 30ft; 150ft flying (AA:IV)
BATRACHIAN TADPOLE | 1 1d2  hit points | 6 [14] (4 [16] for advanced types) 8 [12] | 1 spear (1d6 + poison) or 1 bite | 50 50 | Medium Small |  | 18 +1/hp 1 +0/hp | Low to average (5-10) Animal (1) | Chaotic evil Neutral | 30ft hop; 150ft swimming 30ft hop; 150ft
BLACK BROWN | 3+3 5+5 | 7 [13] 6 [14] | 3 (1d3/1d3/1d6) 3 (1d6/1d6/1d8) | 65 75 | Medium Large (9ft) | 1d3 1d6 | 75 +3/hp 160 +6/hp | Semi- (2-4) Semi- (2-4) | Neutral Neutral | 120ft 120ft
CAVE POLAR | 6+6 8+8 | 6 [14] 6 [14] | 1d8/1d8/1d12 1d10/1d10/2d6 | 80 95 | Large (12ft) Large (14ft) | 1d2 1d6 | 225 +8/hp 600 +12/hp | Semi- (2-4) Semi- (2-4) | Neutral Neutral | 120ft 120ft; 90ft
WORKER SOLDIER | 3+1 4+2 | 6 [14] 5 [15] | 1 sting (1d3 + | 60 65 | Medium Medium |  | 100 +4/hp 150 +5/hp | Semi- (2-4) Semi- (2-4) | Neutral Neutral | 90ft; 300ft flying 120ft; 300ft flying
BUMBLEBEE QUEEN | 6+4 9 | 5 [15] 5 [15] | 1 sting (1d6 + | 80 80 | Medium Medium |  | 300 +8/hp 900 +12/hp | Semi- (2-4) Semi- (2-4) | Neutral Neutral | 60ft; 240ft flying 60ft; 240ft flying
FIRE BEETLE BOMBARDIER WATER | 1+2 2+2 4 | 4 [16] 4 [16] 3 [17] | 1 bite (2d4) 1 bite (2d6) 1 bite (3d6) | N/A N/A N/A | Small Medium Medium |  | 30 +1/hp 65 +2/hp 75 +3/hp | Non- (0) Non- (0) Non- (0) | Neutral Neutral Neutral | 120ft 90ft 30ft; 120ft
BORING DEATH WATCH RHINOCEROS STAG | 5 9+1 12 7 | 3 [17] 3 [17] 2 [18] 3 [17] | 1 bite (5d4) 1 bite (3d4) 1 bite (2d8) and 1 horn | N/A N/A N/A N/A | Large Large Large Large | 3d6 1 1d6 2d6 | 110 +4/hp 1,100 +12/hp 1,300 +6/hp 225 +8/hp | Non- (0) Non- (0) Non- (0) Non- (0) | Neutral Neutral Neutral Neutral | 60ft 120ft 60ft 60ft
BEHIR | 12 | 4 [16] | 1 bite (2d4) or bite plus 6 claws (1d6) | 105 | Huge | Encountered: 1d2 | 2,750 +16/hp | Low (5-7) | Neutral evil | 150ft
NORMAL GIANT | 1 4 | 6 [14] 7 [13] | 1 bite (1hp) and 2 | 50 65 | Small Medium | 1d20 1 | 15 +1/hp 105 +3/hp | Animal (1) Animal (1) | Neutral Neutral | 30ft; 360ft flying
BLINDHEIM | 4+2 | 3 [17] | 1 bite (1d8 piercing) | 70 | Small | 1d4 | 110 +5/hp | Semi- (2-4) | Chaotic evil | 90ft
BLINK DOG | 4 | 5 [15] | 1 bite (1d6 piercing) | 65 | Medium | 4d4 | 175 +5/hp | Average (8-10) | Lawful good | 120ft
BOAR | 3+3 7 | 7 [13] 6 [14] | 1 (3d4) 1 (3d6) | N/A (fights to the | Medium Large | 1d12 2d4 | 75+3/hp 225+8/hp | Animal (1) Animal (1) | Neutral Neutral | 150ft 120ft
