Magic-User | 1 | Affect Normal Fires | Arcane transmutation
Magic-User | 1 | Burning Hands | Arcane transmutation
Magic-User | 1 | Charm Person | Arcane enchantment
Magic-User | 1 | Comprehend Languages | Arcane transmutation
Magic-User | 1 | Confuse Languages | Arcane transmutation
Magic-User | 1 | Dancing Lights | Arcane transmutation
Magic-User | 1 | Detect Magic | Arcane divination
Magic-User | 1 | Enlarge | Arcane transmutation
Magic-User | 1 | Reduce | Arcane transmutation
Magic-User | 1 | Erase | Arcane transmutation
Magic-User | 1 | Feather Fall | Arcane transmutation
Magic-User | 1 | Find Familiar | Arcane conjuration/summoning
Magic-User | 1 | Friends | Arcane enchantment
Magic-User | 1 | Hold Portal | Arcane transmutation
Magic-User | 1 | Identify | Arcane divination
Magic-User | 1 | Jump | Arcane transmutation
Magic-User | 1 | Light | Arcane transmutation
Magic-User | 1 | Magic Missile | Arcane evocation
Magic-User | 1 | Mending | Arcane transmutation
Magic-User | 1 | Message | Arcane transmutation
Magic-User | 1 | Niam'S Magic Aura | Arcane illusion
Magic-User | 1 | Protection From Evil | Arcane abjuration
Magic-User | 1 | Protection From  Good | Arcane abjuration
Magic-User | 1 | Push | Arcane conjuration/summoning
Magic-User | 1 | Read Magic | Arcane divination
Magic-User | 1 | Encrypt Magic | Arcane divination
Magic-User | 1 | Shield | Arcane evocation
Magic-User | 1 | Shocking Grasp | Arcane transmutation
Magic-User | 1 | Sleep | Arcane enchantment
Magic-User | 1 | Spider Climb | Arcane transmutation
Magic-User | 1 | Tanzur'S Floating Disk | Arcane evocation
Magic-User | 1 | Unseen Servant | Arcane conjuration/summoning
Magic-User | 1 | Ventriloquism | Arcane illusion
Magic-User | 1 | Write | Arcane evocation
Magic-User | 2 | Audible Glamour | Arcane illusion
Magic-User | 2 | Continual Light | Arcane transmutation
Magic-User | 2 | Detect Evil | Arcane divination
Magic-User | 2 | Detect  Good | Arcane divination
Magic-User | 2 | Detect  Invisibility | Arcane divination
Magic-User | 2 | Esp | Arcane divination
Magic-User | 2 | Fool'S Gold | Arcane transmutation
Magic-User | 2 | Forget | Arcane enchantment
Magic-User | 2 | Invisibility | Arcane illusion
Magic-User | 2 | False Trap | Arcane illusion
Magic-User | 2 | Knock | Arcane transmutation
Magic-User | 2 | Levitate | Arcane transmutation
Magic-User | 2 | Locate Object | Arcane divination
Magic-User | 2 | Magic Mouth | Arcane transmutation
Magic-User | 2 | Mirror Image | Arcane illusion
Magic-User | 2 | Pyrotechnics | Arcane transmutation
Magic-User | 2 | Ray Of Enfeeblement | Arcane enchantment
Magic-User | 2 | Rope Trick | Arcane transmutation
Magic-User | 2 | Scare | Arcane enchantment
Magic-User | 2 | Shatter | Arcane transmutation
Magic-User | 2 | Stinking Cloud | Arcane evocation
Magic-User | 2 | Strength | Arcane transmutation
Magic-User | 2 | Web | Arcane evocation
Magic-User | 2 | Wizard Lock | Arcane transmutation
Magic-User | 3 | Blink | Arcane transmutation
Magic-User | 3 | Clairaudience | Arcane divination
Magic-User | 3 | Clairvoyance | Arcane divination
Magic-User | 3 | Dispel Magic | Arcane abjuration
Magic-User | 3 | Explosive Runes | Arcane transmutation
Magic-User | 3 | Feign Death | Arcane necromancy
Magic-User | 3 | Fireball | Arcane evocation
Magic-User | 3 | Flame Arrow | Arcane evocation
Magic-User | 3 | Fly | Arcane transmutation
Magic-User | 3 | Gust Of Wind | Arcane evocation
Magic-User | 3 | Haste | Arcane transmutation
Magic-User | 3 | Hold Person | Arcane enchantment
Magic-User | 3 | Infravision | Arcane transmutation
Magic-User | 3 | Leomondo'S Tiny Hut | Arcane transmutation
Magic-User | 3 | Lightning Bolt | Arcane evocation
Magic-User | 3 | Monster Summoning I | Arcane conjuration/summoning
Magic-User | 3 | Phantasmal Force | Arcane illusion
Magic-User | 3 | Radius | Arcane abjuration
Magic-User | 3 | Missiles | Arcane abjuration
Magic-User | 3 | Slow | Arcane transmutation
Magic-User | 3 | Suggestion | Arcane enchantment
Magic-User | 3 | Tongues | Arcane transmutation
Magic-User | 3 | Babble | Arcane transmutation
Magic-User | 3 | Water Breathing | Arcane transmutation
Magic-User | 3 | Air Breathing | Arcane transmutation
Magic-User | 4 | Charm Monster | Arcane Enchantment
Magic-User | 4 | Confusion | Arcane enchantment
Magic-User | 4 | Dig | Arcane evocation
Magic-User | 4 | Dimension Door | Arcane transmutation
Magic-User | 4 | Enchanted Weapon | Arcane transmutation
Magic-User | 4 | Extension I | Arcane transmutation
Magic-User | 4 | Fear | Arcane illusion
Magic-User | 4 | Fire Charm | Arcane enchantment
Magic-User | 4 | Fire Shield | Arcane evocation
Magic-User | 4 | Fire Trap | Arcane evocation
Magic-User | 4 | Fumble | Arcane enchantment
Magic-User | 4 | Hallucinatory Terrain | Arcane illusion
Magic-User | 4 | Ice Storm | Arcane evocation
Magic-User | 4 | Massmorph | Arcane illusion
Magic-User | 4 | Invulnerability | Arcane abjuration
Magic-User | 4 | Monster Summoning Ii | Arcane conjuration/summoning
Magic-User | 4 | Plant Growth | Arcane transmutation
Magic-User | 4 | Polymorph Other | Arcane transmutation
Magic-User | 4 | Polymorph Self | Arcane transmutation
Magic-User | 4 | Enhancement | Arcane transmutation
Magic-User | 4 | Remove Curse | Arcane abjuration
Magic-User | 3 | Bestow Curse | Divine conjuration
Magic-User | 4 | Wall Of Fire | Arcane evocation
Magic-User | 4 | Wall Of Ice | Arcane evocation
Magic-User | 4 | Wizard Eye | Arcane transmutation
Magic-User | 5 | Airy Water | Arcane transmutation
Magic-User | 5 | Animal Growth | Arcane transmutation
Magic-User | 5 | Reduce Animal | Arcane transmutation
Magic-User | 5 | Animate Dead | Arcane necromancy
Magic-User | 5 | Biccby'S Interposing Hand | Arcane evocation
Magic-User | 5 | Cloudkill | Arcane evocation
